iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
42,42,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",121,94045.79513520507,-5.9542048647949315,-18.163967452491658,39.66942148760331,0.9124373259018611,-0.04326446281000488,False
43,43,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",115,90596.4302983359,-9.403569701664106,-20.01058340035363,38.26086956521739,0.8543037206299761,-0.07847826086965201,False
44,44,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",108,92698.0122288452,-7.301987771154805,-16.956025848282962,38.88888888888889,0.881658155284799,-0.06277777777786485,False
45,45,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",100,88929.16938147691,-11.070830618523086,-22.780528297751356,37.0,0.8044625774374341,-0.11000000000008611,False
46,46,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",96,90423.86979371759,-9.576130206282407,-20.492766174605805,37.5,0.8242645518864449,-0.09750000000008636,False
47,47,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",87,96853.16059287399,-3.146839407126012,-17.79762780662697,40.229885057471265,0.9358740614818053,-0.029252873563306248,False
48,48,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",82,85676.80004549077,-14.323199954509224,-22.286833181301535,34.146341463414636,0.7101348806768248,-0.18134146341471874,False
49,49,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",82,92335.1650278345,-7.66483497216549,-17.4566217463854,37.80487804878049,0.8415747076664433,-0.08987804878057434,False
50,50,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",71,96065.02909674888,-3.9349709032511115,-14.122295321754475,39.436619718309856,0.9045639665987677,-0.04908450704234094,False
51,51,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",113,97233.76204866348,-2.7662379513365143,-18.32873708793513,40.707964601769916,0.9559515727770687,-0.017300884955840232,False
