iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
11,11,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",204,77112.4838579544,-22.887516142045595,-33.84084637308856,36.27450980392157,0.7843218937740444,-0.12012670063881938,False
12,12,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",193,78270.6123502811,-21.729387649718902,-31.2807086372746,36.26943005181347,0.7873505709603165,-0.11966216008564352,False
13,13,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",166,71205.19275984836,-28.79480724015164,-34.150884015477665,33.13253012048193,0.6835783504952245,-0.1974683145646287,False
14,14,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",148,73869.06397763069,-26.130936022369312,-30.978695864750406,33.108108108108105,0.691948563186327,-0.19753278644791122,False
15,15,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",131,79712.19168920555,-20.287808310794453,-26.276588557439005,34.35114503816794,0.7320032704286377,-0.1659089785627899,False
16,16,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",119,81694.78424293587,-18.30521575706413,-23.340574040529848,34.45378151260504,0.7351740981418898,-0.16270768762917648,False
17,17,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",106,82484.23089709399,-17.51576910290601,-21.7549434185631,33.9622641509434,0.7243947620145187,-0.17449514072749006,False
18,18,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",98,83150.03976359959,-16.849960236400406,-21.123352969509313,33.6734693877551,0.7164029381271693,-0.1811400759642177,False
19,19,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 5.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",93,85452.72906788201,-14.547270932117984,-17.74890151980516,34.40860215053764,0.7407613922239478,-0.1618557252680508,False
20,20,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 5.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",80,84117.61694397077,-15.882383056029227,-19.03399141668477,32.5,0.676842149329554,-0.20911950157702902,False
21,21,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",159,82384.35571834202,-17.615644281657982,-21.427403869020758,36.477987421383645,0.804195856334935,-0.11459200272827862,False
22,22,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",149,78678.08124451013,-21.321918755489865,-22.41411890484134,34.899328859060404,0.7519499730083749,-0.15374213008806767,False
23,23,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",134,81127.65735304813,-18.87234264695188,-19.576252053169064,35.07462686567165,0.7614149354822375,-0.14886688808028206,False
24,24,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",122,87383.97768135156,-12.616022318648435,-13.374215095926589,36.885245901639344,0.8277734163638302,-0.10322988451155035,False
25,25,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",109,88233.65958230552,-11.766340417694476,-14.37470718299747,36.69724770642202,0.8185361885816028,-0.10754252388927339,False
26,26,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",105,87494.44568865608,-12.505554311343925,-15.454592891620422,36.19047619047619,0.7981895708792627,-0.11995350603938609,False
27,27,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",96,84778.38628470422,-15.221613715295778,-17.53923034368794,34.375,0.7376983685569073,-0.1648238168806787,False
28,28,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",92,81997.01954418787,-18.00298045581212,-21.06513167155095,32.608695652173914,0.6766664054649857,-0.2086598287097523,False
29,29,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 5.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",87,82164.99986194233,-17.835000138057676,-20.564264227599793,32.18390804597701,0.6635924993463392,-0.21873478757454579,False
30,30,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 5.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",76,83378.49917944979,-16.621500820550207,-19.391073558732508,31.57894736842105,0.6518296935771521,-0.23216176894453733,False
31,31,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",140,88483.72516071617,-11.516274839283824,-16.05114590987644,37.857142857142854,0.8581588848283475,-0.0800403566552869,False
