entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,equity_after,r_multiple
2018-09-13 17:00:00+00:00,2018-09-14 06:00:00+00:00,long,1.16783,1.16645,1.1705899999999998,1413967.017634989,1.1705899999999998,TP,3874.269628319506,199001.71806193906,1.985507246376716
2018-09-28 09:00:00+00:00,2018-10-01 15:00:00+00:00,short,1.16138,1.16361,1.1569200000000002,892384.3859279961,1.1569200000000002,TP,3962.1866735201043,202963.90473545916,1.9910313901344703
2018-10-12 04:00:00+00:00,2018-10-12 05:00:00+00:00,long,1.16026,1.15955,1.16168,2858646.545569894,1.15955,SL,-2086.811978266364,200877.0927571928,-1.028169014084692
2018-10-18 22:00:00+00:00,2018-10-19 05:00:00+00:00,short,1.14564,1.14628,1.14436,3138704.5743312654,1.14628,SL,-2071.5450190589645,198805.5477381338,-1.031250000000206
2018-11-05 19:00:00+00:00,2018-11-07 09:00:00+00:00,long,1.14217,1.13896,1.1485899999999998,619331.9244178749,1.1485899999999998,TP,3963.724316274238,202769.27205440804,1.9937694704049436
2018-11-12 02:00:00+00:00,2018-11-12 05:00:00+00:00,short,1.13247,1.13329,1.1308300000000004,2472796.000664053,1.1308300000000004,TP,4005.929521074556,206775.20157548258,1.975609756097396
2018-11-19 11:00:00+00:00,2018-11-19 11:00:00+00:00,long,1.14187,1.14114,1.1433299999999997,2832537.0078837215,1.1433299999999997,TP,4078.8532913516065,210854.0548668342,1.972602739725844
2018-11-27 08:00:00+00:00,2018-11-28 17:00:00+00:00,short,1.13115,1.13478,1.1238900000000005,580865.1649224403,1.13478,SL,-2120.157851966867,208733.89701486734,-1.0055096418733145
2018-12-06 18:00:00+00:00,2018-12-06 20:00:00+00:00,long,1.13863,1.13677,1.14235,1122225.2527681205,1.13677,SL,-2109.783475204183,206624.11353966314,-1.0107526881721136
2018-12-06 22:00:00+00:00,2018-12-07 13:00:00+00:00,short,1.1372,1.13886,1.13388,1244723.5755401433,1.13886,SL,-2091.1356069075973,204532.97793275554,-1.0120481927711633
2018-12-12 17:00:00+00:00,2018-12-12 18:00:00+00:00,short,1.13617,1.13773,1.13305,1311108.8329022743,1.13773,SL,-2071.551955985773,202461.42597676977,-1.012820512820597
2018-12-19 13:00:00+00:00,2018-12-19 14:00:00+00:00,long,1.14036,1.139,1.14308,1488686.955711512,1.14308,TP,4019.45478042097,206480.88075719072,1.985294117646963
2019-01-03 14:00:00+00:00,2019-01-03 14:00:00+00:00,short,1.13654,1.13719,1.1352400000000005,3176628.9347269037,1.13719,SL,-2128.3413862668617,204352.53937092386,-1.030769230769441
2019-01-07 22:00:00+00:00,2019-01-08 00:00:00+00:00,long,1.1474,1.14672,1.14876,3005184.4025135245,1.14672,SL,-2103.629081759903,202248.91028916396,-1.0294117647060743
2019-01-16 09:00:00+00:00,2019-01-16 09:00:00+00:00,short,1.14214,1.14266,1.1410999999999998,3889402.120944893,1.1410999999999998,TP,3967.190163363872,206216.10045252784,1.9615384615382152
2019-01-29 07:00:00+00:00,2019-01-29 08:00:00+00:00,long,1.14344,1.1427500000000002,1.1448199999999997,2988639.1369937747,1.1448199999999997,TP,4064.5492263102897,210280.64967883812,1.9710144927534274
2019-02-06 19:00:00+00:00,2019-02-07 10:00:00+00:00,short,1.1366,1.13807,1.1336600000000003,1430480.6100602592,1.1336600000000003,TP,4177.00338137537,214457.6530602135,1.9863945578230389
2019-02-20 09:00:00+00:00,2019-02-20 11:00:00+00:00,long,1.13448,1.1331900000000001,1.1370599999999995,1662462.4268236293,1.1331900000000001,SL,-2177.825779138825,212279.82728107466,-1.0155038759690962
2019-03-05 12:00:00+00:00,2019-03-05 12:00:00+00:00,short,1.13337,1.1338899999999998,1.1323300000000003,4082304.3707910446,1.1323300000000003,TP,4163.950458205138,216443.7777392798,1.9615384615381988
2019-03-14 20:00:00+00:00,2019-03-15 02:00:00+00:00,long,1.13022,1.12935,1.1319599999999999,2487859.514244806,1.1319599999999999,TP,4279.118364500374,220722.89610378016,1.9770114942527208
2019-03-26 01:00:00+00:00,2019-03-26 05:00:00+00:00,short,1.13177,1.13238,1.13055,3618408.1328488584,1.13055,TP,4342.0897594181515,225064.98586319832,1.9672131147538834
2019-04-09 10:00:00+00:00,2019-04-10 00:00:00+00:00,long,1.12741,1.12611,1.1300100000000002,1731269.1220244973,1.12611,SL,-2285.2752410727,222779.71062212563,-1.0153846153847153
2019-04-19 12:00:00+00:00,2019-04-22 10:00:00+00:00,short,1.12453,1.12517,1.12325,3480932.978470855,1.12517,SL,-2297.4157657911296,220482.29485633448,-1.031250000000206
2019-05-02 04:00:00+00:00,2019-05-02 06:00:00+00:00,long,1.12061,1.11964,1.1225500000000004,2273013.349034054,1.11964,SL,-2250.283215544324,218232.01164079015,-1.020618556701163
2019-05-03 15:00:00+00:00,2019-05-03 15:00:00+00:00,short,1.11871,1.11995,1.1162300000000003,1759935.5777484383,1.11995,SL,-2217.5188279631006,216014.49281282705,-1.0161290322581713
2019-05-07 09:00:00+00:00,2019-05-07 11:00:00+00:00,long,1.11963,1.1188,1.1212899999999997,2602584.250757309,1.1188,SL,-2212.196613143758,213802.2961996833,-1.02409638554233
2019-05-16 20:00:00+00:00,2019-05-17 06:00:00+00:00,short,1.11769,1.11822,1.1166300000000002,4034005.5886738836,1.11822,SL,-2218.7030737708396,211583.59312591248,-1.037735849056857
2019-05-27 18:00:00+00:00,2019-05-28 01:00:00+00:00,long,1.11903,1.1185,1.1200899999999998,3992143.2665272574,1.1185,SL,-2195.678796590193,209387.9143293223,-1.037735849056857
2019-05-29 20:00:00+00:00,2019-05-30 00:00:00+00:00,short,1.11322,1.11397,1.1117200000000005,2791838.857725018,1.11397,SL,-2149.715920448089,207238.1984088742,-1.0266666666668482
2019-06-04 01:00:00+00:00,2019-06-04 07:00:00+00:00,long,1.12502,1.12396,1.1271399999999996,1955077.3434802422,1.1271399999999996,TP,4105.662421307622,211343.8608301818,1.9811320754715713
2019-06-17 02:00:00+00:00,2019-06-17 06:00:00+00:00,short,1.12236,1.12287,1.12134,4143997.2711799503,1.12134,TP,4143.9972711794935,215487.8581013613,1.9607843137252339
2019-06-21 18:00:00+00:00,2019-07-01 05:00:00+00:00,long,1.13615,1.1334600000000001,1.1415299999999997,801070.104466069,1.1334600000000001,SL,-2170.899983103039,213316.95811825825,-1.0074349442379673
2019-07-02 21:00:00+00:00,2019-07-03 00:00:00+00:00,short,1.12842,1.12937,1.12652,2245441.6644027033,1.12937,SL,-2178.078414470931,211138.87970378733,-1.0210526315790853
2019-07-15 07:00:00+00:00,2019-07-15 11:00:00+00:00,long,1.12748,1.12654,1.12936,2246158.294721283,1.12654,SL,-2156.3119629325934,208982.56774085475,-1.0212765957448215
2019-07-16 23:00:00+00:00,2019-07-17 09:00:00+00:00,short,1.12106,1.1217599999999999,1.11966,2985465.253441111,1.1217599999999999,SL,-2149.534982477761,206833.032758377,-1.0285714285716188
2019-08-06 06:00:00+00:00,2019-08-06 06:00:00+00:00,long,1.11971,1.11915,1.1208299999999998,3693447.0135431467,1.1208299999999998,TP,4062.7917148961938,210895.82447327318,1.9642857142854737
2019-08-15 13:00:00+00:00,2019-08-15 13:00:00+00:00,short,1.11421,1.11594,1.11075,1219051.0085160236,1.11075,TP,4193.535469294984,215089.35994256818,1.988439306358306
2019-08-27 20:00:00+00:00,2019-08-28 08:00:00+00:00,long,1.10898,1.10832,1.1103000000000003,3258929.6960989996,1.10832,SL,-2216.0721933480886,212873.2877492201,-1.030303030303224
2019-08-28 13:00:00+00:00,2019-08-29 13:00:00+00:00,short,1.10816,1.1091199999999999,1.1062400000000003,2217430.0807213895,1.1062400000000003,TP,4213.117153369683,217086.40490258977,1.9791666666665266
2019-09-09 17:00:00+00:00,2019-09-09 19:00:00+00:00,long,1.10597,1.1050600000000002,1.1077899999999994,2385564.889040118,1.1050600000000002,SL,-2218.5753468070125,214867.82955578275,-1.021978021978172
2019-09-18 15:00:00+00:00,2019-09-18 18:00:00+00:00,short,1.10606,1.10707,1.1040400000000001,2127404.253027646,1.1040400000000001,TP,4254.808506054823,219122.63806183758,1.9801980198018494
2019-09-19 09:00:00+00:00,2019-09-19 15:00:00+00:00,long,1.10589,1.1046,1.10847,1698625.1012545375,1.1046,SL,-2225.1988826436896,216897.4391791939,-1.0155038759690937
2019-09-23 01:00:00+00:00,2019-09-23 02:00:00+00:00,short,1.1017,1.10248,1.10014,2780736.399733245,1.10248,SL,-2224.5891197869682,214672.85005940692,-1.0256410256411934
2019-10-04 16:00:00+00:00,2019-10-07 00:00:00+00:00,long,1.0973,1.09666,1.09858,3354263.2821783703,1.09858,TP,4226.371735544132,218899.22179495104,1.9687499999997942
2019-10-28 19:00:00+00:00,2019-10-29 08:00:00+00:00,short,1.10976,1.1107099999999999,1.1078600000000005,2304202.3346842183,1.1078600000000005,TP,4331.900389205035,223231.12218415606,1.97894736842091
2019-10-31 14:00:00+00:00,2019-10-31 14:00:00+00:00,long,1.11483,1.11366,1.1171699999999998,1907958.3092664653,1.11366,SL,-2270.47038802714,220960.65179612892,-1.0170940170941305
