iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
230,230,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 1.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
231,231,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
232,232,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 1.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
233,233,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
234,234,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 2.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
235,235,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
236,236,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 2.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
237,237,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
238,238,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 3.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
239,239,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
240,240,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 3.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
241,241,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",15,107273.55619306985,7.273556193069841,-2.0361945555555816,60.0,2.1347305281912936,0.47666666666662716,484.90374620465684,False
